year,race,percentage
1990,whiteAlone,0.000
1990,white,9.307
1990,whiteANH,0.000
1990,whiteNH,6.929
1990,blackCombo,0.000
1990,blackAlone,0.000
1990,black,4.101
1990,asianCombo,0.000
1990,asianAlone,0.000
1990,asianPI,0.358
1990,hispanic,2.504
1991,whiteAlone,0.000
1991,white,9.310
1991,whiteANH,0.000
1991,whiteNH,6.956
1991,blackCombo,0.000
1991,blackAlone,0.000
1991,black,4.016
1991,asianCombo,0.000
1991,asianAlone,0.000
1991,asianPI,0.391
1991,hispanic,2.485
1992,whiteAlone,0.000
1992,white,9.967
1992,whiteANH,0.000
1992,whiteNH,7.182
1992,blackCombo,0.000
1992,blackAlone,0.000
1992,black,4.272
1992,asianCombo,0.000
1992,asianAlone,0.000
1992,asianPI,0.389
1992,hispanic,2.996
1993,whiteAlone,0.000
1993,white,10.019
1993,whiteANH,0.000
1993,whiteNH,7.213
1993,blackCombo,0.000
1993,blackAlone,0.000
1993,black,4.155
1993,asianCombo,0.000
1993,asianAlone,0.000
1993,asianPI,0.433
1993,hispanic,3.104
1994,whiteAlone,0.000
1994,white,10.002
1994,whiteANH,0.000
1994,whiteNH,7.138
1994,blackCombo,0.000
1994,blackAlone,0.000
1994,black,4.018
1994,asianCombo,0.000
1994,asianAlone,0.000
1994,asianPI,0.384
1994,hispanic,3.317
1995,whiteAlone,0.000
1995,white,9.387
1995,whiteANH,0.000
1995,whiteNH,6.252
1995,blackCombo,0.000
1995,blackAlone,0.000
1995,black,3.794
1995,asianCombo,0.000
1995,asianAlone,0.000
1995,asianPI,0.542
1995,hispanic,3.295
1996,whiteAlone,0.000
1996,white,9.447
1996,whiteANH,0.000
1996,whiteNH,6.309
1996,blackCombo,0.000
1996,blackAlone,0.000
1996,black,3.715
1996,asianCombo,0.000
1996,asianAlone,0.000
1996,asianPI,0.557
1996,hispanic,3.333
1997,whiteAlone,0.000
1997,white,8.915
1997,whiteANH,0.000
1997,whiteNH,6.026
1997,blackCombo,0.000
1997,blackAlone,0.000
1997,black,3.331
1997,asianCombo,0.000
1997,asianAlone,0.000
1997,asianPI,0.536
1997,hispanic,3.036
1998,whiteAlone,0.000
1998,white,8.844
1998,whiteANH,0.000
1998,whiteNH,5.957
1998,blackCombo,0.000
1998,blackAlone,0.000
1998,black,3.428
1998,asianCombo,0.000
1998,asianAlone,0.000
1998,asianPI,0.513
1998,hispanic,3.043
1999,whiteAlone,0.000
1999,white,8.113
1999,whiteANH,0.000
1999,whiteNH,5.392
1999,blackCombo,0.000
1999,blackAlone,0.000
1999,black,3.089
1999,asianCombo,0.000
1999,asianAlone,0.000
1999,asianPI,0.470
1999,hispanic,2.882
2000,whiteAlone,0.000
2000,white,7.539
2000,whiteANH,0.000
2000,whiteNH,5.004
2000,blackCombo,0.000
2000,blackAlone,0.000
2000,black,2.780
2000,asianCombo,0.000
2000,asianAlone,0.000
2000,asianPI,0.438
2000,hispanic,2.698
2001,whiteAlone,0.000
2001,white,8.292
2001,whiteANH,0.000
2001,whiteNH,5.569
2001,blackCombo,0.000
2001,blackAlone,0.000
2001,black,2.967
2001,asianCombo,0.000
2001,asianAlone,0.000
2001,asianPI,0.465
2001,hispanic,2.916
2002,whiteAlone,8.160
2002,white,0.000
2002,whiteANH,5.404
2002,whiteNH,0.000
2002,blackCombo,3.084
2002,blackAlone,2.986
2002,black,0.000
2002,asianCombo,0.431
2002,asianAlone,0.403
2002,asianPI,0.000
2002,hispanic,2.970
2003,whiteAlone,8.160
2003,white,0.000
2003,whiteANH,5.321
2003,whiteNH,0.000
2003,blackCombo,3.048
2003,blackAlone,2.938
2003,black,0.000
2003,asianCombo,0.511
2003,asianAlone,0.469
2003,asianPI,0.000
2003,hispanic,3.029
2004,whiteAlone,8.840
2004,white,0.000
2004,whiteANH,5.934
2004,whiteNH,0.000
2004,blackCombo,3.303
2004,blackAlone,3.164
2004,black,0.000
2004,asianCombo,0.455
2004,asianAlone,0.422
2004,asianPI,0.000
2004,hispanic,3.202
2005,whiteAlone,8.710
2005,white,0.000
2005,whiteANH,5.709
2005,whiteNH,0.000
2005,blackCombo,3.348
2005,blackAlone,3.226
2005,black,0.000
2005,asianCombo,0.528
2005,asianAlone,0.493
2005,asianPI,0.000
2005,hispanic,3.296
2006,whiteAlone,8.040
2006,white,0.000
2006,whiteANH,5.270
2006,whiteNH,0.000
2006,blackCombo,3.109
2006,blackAlone,2.978
2006,black,0.000
2006,asianCombo,0.476
2006,asianAlone,0.445
2006,asianPI,0.000
2006,hispanic,3.042
2007,whiteAlone,8.040
2007,white,0.000
2007,whiteANH,5.161
2007,whiteNH,0.000
2007,blackCombo,3.112
2007,blackAlone,2.974
2007,black,0.000
2007,asianCombo,0.472
2007,asianAlone,0.434
2007,asianPI,0.000
2007,hispanic,3.184
2008,whiteAlone,8.840
2008,white,0.000
2008,whiteANH,5.557
2008,whiteNH,0.000
2008,blackCombo,3.225
2008,blackAlone,3.061
2008,black,0.000
2008,asianCombo,0.550
2008,asianAlone,0.514
2008,asianPI,0.000
2008,hispanic,3.586
2009,whiteAlone,9.520
2009,white,0.000
2009,whiteANH,5.954
2009,whiteNH,0.000
2009,blackCombo,3.398
2009,blackAlone,3.195
2009,black,0.000
2009,asianCombo,0.611
2009,asianAlone,0.561
2009,asianPI,0.000
2009,hispanic,3.968
2010,whiteAlone,10.050
2010,white,0.000
2010,whiteANH,6.231
2010,whiteNH,0.000
2010,blackCombo,3.754
2010,blackAlone,3.478
2010,black,0.000
2010,asianCombo,0.668
2010,asianAlone,0.615
2010,asianPI,0.000
2010,hispanic,4.377
2011,whiteAlone,10.050
2011,white,0.000
2011,whiteANH,6.218
2011,whiteNH,0.000
2011,blackCombo,3.805
2011,blackAlone,3.545
2011,black,0.000
2011,asianCombo,0.710
2011,asianAlone,0.640
2011,asianPI,0.000
2011,hispanic,4.296
2012,whiteAlone,9.900
2012,white,0.000
2012,whiteANH,6.110
2012,whiteNH,0.000
2012,blackCombo,3.810
2012,blackAlone,3.520
2012,black,0.000
2012,asianCombo,0.668
2012,asianAlone,0.620
2012,asianPI,0.000
2012,hispanic,4.393
2013,whiteAlone,10.050
2013,white,0.000
2013,whiteANH,6.281
2013,whiteNH,0.000
2013,blackCombo,3.787
2013,blackAlone,3.477
2013,black,0.000
2013,asianCombo,0.716
2013,asianAlone,0.662
2013,asianPI,0.000
2013,hispanic,4.275
2014,whiteAlone,10.050
2014,white,0.000
2014,whiteANH,6.318
2014,whiteNH,0.000
2014,blackCombo,3.723
2014,blackAlone,3.458
2014,black,0.000
2014,asianCombo,0.729
2014,asianAlone,0.687
2014,asianPI,0.000
2014,hispanic,4.213
2015,whiteAlone,9.240
2015,white,0.000
2015,whiteANH,5.774
2015,whiteNH,0.000
2015,blackCombo,3.505
2015,blackAlone,3.253
2015,black,0.000
2015,asianCombo,0.725
2015,asianAlone,0.675
2015,asianPI,0.000
2015,hispanic,3.939
2016,whiteAlone,8.710
2016,white,0.000
2016,whiteANH,5.525
2016,whiteNH,0.000
2016,blackCombo,3.190
2016,blackAlone,2.956
2016,black,0.000
2016,asianCombo,0.660
2016,asianAlone,0.611
2016,asianPI,0.000
2016,hispanic,3.565
