year,state,abv,povPercent
1990,Alabama,AL,19.2
1991,Alabama,AL,18.8
1992,Alabama,AL,17.3
1993,Alabama,AL,17.4
1994,Alabama,AL,16.4
1995,Alabama,AL,20.1
1996,Alabama,AL,14.0
1997,Alabama,AL,15.7
1998,Alabama,AL,14.5
1999,Alabama,AL,15.2
2000,Alabama,AL,13.3
2001,Alabama,AL,15.9
2002,Alabama,AL,14.5
2003,Alabama,AL,15.0
2004,Alabama,AL,16.9
2005,Alabama,AL,16.7
2006,Alabama,AL,14.3
2007,Alabama,AL,14.5
2008,Alabama,AL,14.3
2009,Alabama,AL,16.6
2010,Alabama,AL,17.2
2011,Alabama,AL,15.4
2012,Alabama,AL,16.2
2013,Alabama,AL,17.6
2014,Alabama,AL,17.8
2015,Alabama,AL,16.3
2016,Alabama,AL,16.2
1990,Alaska,AK,11.4
1991,Alaska,AK,11.8
1992,Alaska,AK,10.2
1993,Alaska,AK,9.1
1994,Alaska,AK,10.2
1995,Alaska,AK,7.1
1996,Alaska,AK,8.2
1997,Alaska,AK,8.8
1998,Alaska,AK,9.4
1999,Alaska,AK,7.6
2000,Alaska,AK,7.6
2001,Alaska,AK,8.5
2002,Alaska,AK,8.8
2003,Alaska,AK,9.6
2004,Alaska,AK,9.1
2005,Alaska,AK,10.0
2006,Alaska,AK,8.9
2007,Alaska,AK,7.6
2008,Alaska,AK,8.2
2009,Alaska,AK,11.7
2010,Alaska,AK,12.5
2011,Alaska,AK,11.7
2012,Alaska,AK,10.0
2013,Alaska,AK,10.3
2014,Alaska,AK,11.9
2015,Alaska,AK,9.2
2016,Alaska,AK,12.6
1990,Arizona,AZ,13.7
1991,Arizona,AZ,14.8
1992,Arizona,AZ,15.8
1993,Arizona,AZ,15.4
1994,Arizona,AZ,15.9
1995,Arizona,AZ,16.1
1996,Arizona,AZ,20.5
1997,Arizona,AZ,17.2
1998,Arizona,AZ,16.6
1999,Arizona,AZ,12.2
2000,Arizona,AZ,11.7
2001,Arizona,AZ,14.6
2002,Arizona,AZ,13.5
2003,Arizona,AZ,13.5
2004,Arizona,AZ,14.4
2005,Arizona,AZ,15.2
2006,Arizona,AZ,14.4
2007,Arizona,AZ,14.3
2008,Arizona,AZ,18.0
2009,Arizona,AZ,21.2
2010,Arizona,AZ,18.8
2011,Arizona,AZ,17.2
2012,Arizona,AZ,19.0
2013,Arizona,AZ,19
2014,Arizona,AZ,21.2
2015,Arizona,AZ,17.2
2016,Arizona,AZ,16.1
1990,Arkansas,AR,19.6
1991,Arkansas,AR,17.3
1992,Arkansas,AR,17.5
1993,Arkansas,AR,20.0
1994,Arkansas,AR,15.3
1995,Arkansas,AR,14.9
1996,Arkansas,AR,17.2
1997,Arkansas,AR,19.7
1998,Arkansas,AR,14.7
1999,Arkansas,AR,14.7
2000,Arkansas,AR,16.5
2001,Arkansas,AR,17.8
2002,Arkansas,AR,19.8
2003,Arkansas,AR,17.8
2004,Arkansas,AR,15.1
2005,Arkansas,AR,13.8
2006,Arkansas,AR,17.7
2007,Arkansas,AR,13.8
2008,Arkansas,AR,15.3
2009,Arkansas,AR,18.9
2010,Arkansas,AR,15.3
2011,Arkansas,AR,18.7
2012,Arkansas,AR,20.1
2013,Arkansas,AR,15.5
2014,Arkansas,AR,18.4
2015,Arkansas,AR,16.1
2016,Arkansas,AR,16.0
1990,California,CA,13.9
1991,California,CA,15.7
1992,California,CA,16.4
1993,California,CA,18.2
1994,California,CA,17.9
1995,California,CA,16.7
1996,California,CA,16.9
1997,California,CA,16.6
1998,California,CA,15.4
1999,California,CA,14.0
2000,California,CA,12.7
2001,California,CA,12.6
2002,California,CA,13.1
2003,California,CA,13.1
2004,California,CA,13.2
2005,California,CA,13.2
2006,California,CA,12.2
2007,California,CA,12.7
2008,California,CA,14.6
2009,California,CA,15.3
2010,California,CA,16.3
2011,California,CA,16.9
2012,California,CA,15.9
2013,California,CA,15
2014,California,CA,15.8
2015,California,CA,13.9
2016,California,CA,13.9
1990,Colorado,CO,13.7
1991,Colorado,CO,10.4
1992,Colorado,CO,10.8
1993,Colorado,CO,9.9
1994,Colorado,CO,9.0
1995,Colorado,CO,8.8
1996,Colorado,CO,10.6
1997,Colorado,CO,8.2
1998,Colorado,CO,9.2
1999,Colorado,CO,8.5
2000,Colorado,CO,9.8
2001,Colorado,CO,8.7
2002,Colorado,CO,9.8
2003,Colorado,CO,9.7
2004,Colorado,CO,10.0
2005,Colorado,CO,11.4
2006,Colorado,CO,9.7
2007,Colorado,CO,9.8
2008,Colorado,CO,11.0
2009,Colorado,CO,12.3
2010,Colorado,CO,12.3
2011,Colorado,CO,13.2
2012,Colorado,CO,11.9
2013,Colorado,CO,10.65
2014,Colorado,CO,12.3
2015,Colorado,CO,9.9
2016,Colorado,CO,8.5
1990,Connecticut,CT,6.0
1991,Connecticut,CT,8.6
1992,Connecticut,CT,9.8
1993,Connecticut,CT,8.5
1994,Connecticut,CT,10.8
1995,Connecticut,CT,9.7
1996,Connecticut,CT,11.7
1997,Connecticut,CT,8.6
1998,Connecticut,CT,9.5
1999,Connecticut,CT,7.2
2000,Connecticut,CT,7.7
2001,Connecticut,CT,7.3
2002,Connecticut,CT,8.3
2003,Connecticut,CT,8.1
2004,Connecticut,CT,10.1
2005,Connecticut,CT,9.3
2006,Connecticut,CT,8.0
2007,Connecticut,CT,8.9
2008,Connecticut,CT,8.1
2009,Connecticut,CT,8.4
2010,Connecticut,CT,8.6
2011,Connecticut,CT,10.1
2012,Connecticut,CT,10.3
2013,Connecticut,CT,11.1
2014,Connecticut,CT,8.6
2015,Connecticut,CT,9.1
2016,Connecticut,CT,9.8
1990,Delaware,DE,6.9
1991,Delaware,DE,7.5
1992,Delaware,DE,7.8
1993,Delaware,DE,10.2
1994,Delaware,DE,8.3
1995,Delaware,DE,10.3
1996,Delaware,DE,8.6
1997,Delaware,DE,9.6
1998,Delaware,DE,10.3
1999,Delaware,DE,10.4
2000,Delaware,DE,8.4
2001,Delaware,DE,6.7
2002,Delaware,DE,9.1
2003,Delaware,DE,7.3
2004,Delaware,DE,9.0
2005,Delaware,DE,9.2
2006,Delaware,DE,9.3
2007,Delaware,DE,9.3
2008,Delaware,DE,9.6
2009,Delaware,DE,12.3
2010,Delaware,DE,12.2
2011,Delaware,DE,13.7
2012,Delaware,DE,13.5
2013,Delaware,DE,12.6
2014,Delaware,DE,11.0
2015,Delaware,DE,11.1
2016,Delaware,DE,11.6
1990,District of Columbia,DC,21.1
1991,District of Columbia,DC,18.6
1992,District of Columbia,DC,20.3
1993,District of Columbia,DC,26.4
1994,District of Columbia,DC,21.2
1995,District of Columbia,DC,22.2
1996,District of Columbia,DC,24.1
1997,District of Columbia,DC,21.8
1998,District of Columbia,DC,22.3
1999,District of Columbia,DC,14.7
2000,District of Columbia,DC,15.2
2001,District of Columbia,DC,18.2
2002,District of Columbia,DC,17.0
2003,District of Columbia,DC,16.8
2004,District of Columbia,DC,17.0
2005,District of Columbia,DC,21.3
2006,District of Columbia,DC,18.3
2007,District of Columbia,DC,18.0
2008,District of Columbia,DC,16.5
2009,District of Columbia,DC,17.9
2010,District of Columbia,DC,19.5
2011,District of Columbia,DC,19.9
2012,District of Columbia,DC,18.4
2013,District of Columbia,DC,22.25
2014,District of Columbia,DC,19.0
2015,District of Columbia,DC,16.6
2016,District of Columbia,DC,16.3
1990,Florida,FL,14.4
1991,Florida,FL,15.4
1992,Florida,FL,15.6
1993,Florida,FL,17.8
1994,Florida,FL,14.9
1995,Florida,FL,16.2
1996,Florida,FL,14.2
1997,Florida,FL,14.3
1998,Florida,FL,13.1
1999,Florida,FL,12.4
2000,Florida,FL,11.0
2001,Florida,FL,12.7
2002,Florida,FL,12.6
2003,Florida,FL,12.7
2004,Florida,FL,11.6
2005,Florida,FL,11.1
2006,Florida,FL,11.5
2007,Florida,FL,12.5
2008,Florida,FL,13.1
2009,Florida,FL,14.6
2010,Florida,FL,16.0
2011,Florida,FL,14.9
2012,Florida,FL,15.3
2013,Florida,FL,14.85
2014,Florida,FL,16.7
2015,Florida,FL,16.2
2016,Florida,FL,13.0
1990,Georgia,GA,15.8
1991,Georgia,GA,17.2
1992,Georgia,GA,17.7
1993,Georgia,GA,13.5
1994,Georgia,GA,14.0
1995,Georgia,GA,12.1
1996,Georgia,GA,14.8
1997,Georgia,GA,14.5
1998,Georgia,GA,13.5
1999,Georgia,GA,12.8
2000,Georgia,GA,12.1
2001,Georgia,GA,12.9
2002,Georgia,GA,11.2
2003,Georgia,GA,11.9
2004,Georgia,GA,13.0
2005,Georgia,GA,14.4
2006,Georgia,GA,12.6
2007,Georgia,GA,13.6
2008,Georgia,GA,15.5
2009,Georgia,GA,18.4
2010,Georgia,GA,18.8
2011,Georgia,GA,18.4
2012,Georgia,GA,18.1
2013,Georgia,GA,17.4
2014,Georgia,GA,16.8
2015,Georgia,GA,18.1
2016,Georgia,GA,15.4
1990,Hawaii,HI,11.0
1991,Hawaii,HI,7.7
1992,Hawaii,HI,11.2
1993,Hawaii,HI,8.0
1994,Hawaii,HI,8.7
1995,Hawaii,HI,10.3
1996,Hawaii,HI,12.1
1997,Hawaii,HI,13.9
1998,Hawaii,HI,10.9
1999,Hawaii,HI,10.8
2000,Hawaii,HI,8.9
2001,Hawaii,HI,11.4
2002,Hawaii,HI,11.3
2003,Hawaii,HI,9.3
2004,Hawaii,HI,8.6
2005,Hawaii,HI,8.6
2006,Hawaii,HI,9.2
2007,Hawaii,HI,7.5
2008,Hawaii,HI,9.9
2009,Hawaii,HI,12.5
2010,Hawaii,HI,12.4
2011,Hawaii,HI,12.1
2012,Hawaii,HI,13.8
2013,Hawaii,HI,10.85
2014,Hawaii,HI,10.8
2015,Hawaii,HI,10.9
2016,Hawaii,HI,9.3
1990,Idaho,ID,14.9
1991,Idaho,ID,13.9
1992,Idaho,ID,15.2
1993,Idaho,ID,13.1
1994,Idaho,ID,12.0
1995,Idaho,ID,14.5
1996,Idaho,ID,11.9
1997,Idaho,ID,14.7
1998,Idaho,ID,13.0
1999,Idaho,ID,14.1
2000,Idaho,ID,12.5
2001,Idaho,ID,11.5
2002,Idaho,ID,11.3
2003,Idaho,ID,10.2
2004,Idaho,ID,9.9
2005,Idaho,ID,9.9
2006,Idaho,ID,9.5
2007,Idaho,ID,9.9
2008,Idaho,ID,12.2
2009,Idaho,ID,13.7
2010,Idaho,ID,13.8
2011,Idaho,ID,15.7
2012,Idaho,ID,14.4
2013,Idaho,ID,12.65
2014,Idaho,ID,12.4
2015,Idaho,ID,12.3
2016,Idaho,ID,11.1
1990,Illinois,IL,13.7
1991,Illinois,IL,13.5
1992,Illinois,IL,15.6
1993,Illinois,IL,13.6
1994,Illinois,IL,12.4
1995,Illinois,IL,12.4
1996,Illinois,IL,12.1
1997,Illinois,IL,11.2
1998,Illinois,IL,10.1
1999,Illinois,IL,9.9
2000,Illinois,IL,10.7
2001,Illinois,IL,10.1
2002,Illinois,IL,12.8
2003,Illinois,IL,12.6
2004,Illinois,IL,12.3
2005,Illinois,IL,11.5
2006,Illinois,IL,10.6
2007,Illinois,IL,10.0
2008,Illinois,IL,12.3
2009,Illinois,IL,13.2
2010,Illinois,IL,14.1
2011,Illinois,IL,14.2
2012,Illinois,IL,12.6
2013,Illinois,IL,13.45
2014,Illinois,IL,13.7
2015,Illinois,IL,10.9
2016,Illinois,IL,12.1
1990,Indiana,IN,13.0
1991,Indiana,IN,15.7
1992,Indiana,IN,11.8
1993,Indiana,IN,12.2
1994,Indiana,IN,13.7
1995,Indiana,IN,9.6
1996,Indiana,IN,7.5
1997,Indiana,IN,8.8
1998,Indiana,IN,9.4
1999,Indiana,IN,6.7
2000,Indiana,IN,8.5
2001,Indiana,IN,8.5
2002,Indiana,IN,9.1
2003,Indiana,IN,9.9
2004,Indiana,IN,11.6
2005,Indiana,IN,12.6
2006,Indiana,IN,10.6
2007,Indiana,IN,11.8
2008,Indiana,IN,14.3
2009,Indiana,IN,16.1
2010,Indiana,IN,16.3
2011,Indiana,IN,15.6
2012,Indiana,IN,15.2
2013,Indiana,IN,14.05
2014,Indiana,IN,14.6
2015,Indiana,IN,13.5
2016,Indiana,IN,11.8
1990,Iowa,IA,10.4
1991,Iowa,IA,9.6
1992,Iowa,IA,11.5
1993,Iowa,IA,10.3
1994,Iowa,IA,10.7
1995,Iowa,IA,12.2
1996,Iowa,IA,9.6
1997,Iowa,IA,9.6
1998,Iowa,IA,9.1
1999,Iowa,IA,7.4
2000,Iowa,IA,8.3
2001,Iowa,IA,7.4
2002,Iowa,IA,9.2
2003,Iowa,IA,8.9
2004,Iowa,IA,10.9
2005,Iowa,IA,11.3
2006,Iowa,IA,10.3
2007,Iowa,IA,8.9
2008,Iowa,IA,9.5
2009,Iowa,IA,10.7
2010,Iowa,IA,10.3
2011,Iowa,IA,10.4
2012,Iowa,IA,10.3
2013,Iowa,IA,12
2014,Iowa,IA,10.3
2015,Iowa,IA,10.4
2016,Iowa,IA,9.8
1990,Kansas,KS,10.3
1991,Kansas,KS,12.3
1992,Kansas,KS,11.1
1993,Kansas,KS,13.1
1994,Kansas,KS,14.9
1995,Kansas,KS,10.8
1996,Kansas,KS,11.2
1997,Kansas,KS,9.7
1998,Kansas,KS,9.6
1999,Kansas,KS,12.3
2000,Kansas,KS,8.0
2001,Kansas,KS,10.1
2002,Kansas,KS,10.1
2003,Kansas,KS,10.8
2004,Kansas,KS,11.4
2005,Kansas,KS,12.5
2006,Kansas,KS,12.8
2007,Kansas,KS,11.7
2008,Kansas,KS,12.7
2009,Kansas,KS,13.7
2010,Kansas,KS,14.5
2011,Kansas,KS,14.3
2012,Kansas,KS,14.0
2013,Kansas,KS,12.3
2014,Kansas,KS,12.1
2015,Kansas,KS,14.2
2016,Kansas,KS,11.2
1990,Kentucky,KY,17.3
1991,Kentucky,KY,18.8
1992,Kentucky,KY,19.7
1993,Kentucky,KY,20.4
1994,Kentucky,KY,18.5
1995,Kentucky,KY,14.7
1996,Kentucky,KY,17.0
1997,Kentucky,KY,15.9
1998,Kentucky,KY,13.5
1999,Kentucky,KY,12.1
2000,Kentucky,KY,12.6
2001,Kentucky,KY,12.6
2002,Kentucky,KY,14.2
2003,Kentucky,KY,14.4
2004,Kentucky,KY,17.8
2005,Kentucky,KY,14.8
2006,Kentucky,KY,16.8
2007,Kentucky,KY,15.5
2008,Kentucky,KY,17.1
2009,Kentucky,KY,17.0
2010,Kentucky,KY,17.7
2011,Kentucky,KY,16.0
2012,Kentucky,KY,17.9
2013,Kentucky,KY,21
2014,Kentucky,KY,20.0
2015,Kentucky,KY,19.5
2016,Kentucky,KY,15.2
1990,Louisiana,LA,23.6
1991,Louisiana,LA,19.0
1992,Louisiana,LA,24.5
1993,Louisiana,LA,26.4
1994,Louisiana,LA,25.7
1995,Louisiana,LA,19.7
1996,Louisiana,LA,20.5
1997,Louisiana,LA,16.3
1998,Louisiana,LA,19.1
1999,Louisiana,LA,19.2
2000,Louisiana,LA,17.2
2001,Louisiana,LA,16.2
2002,Louisiana,LA,17.5
2003,Louisiana,LA,17.0
2004,Louisiana,LA,16.8
2005,Louisiana,LA,18.3
2006,Louisiana,LA,17.0
2007,Louisiana,LA,16.1
2008,Louisiana,LA,18.2
2009,Louisiana,LA,14.3
2010,Louisiana,LA,21.5
2011,Louisiana,LA,21.1
2012,Louisiana,LA,21.1
2013,Louisiana,LA,20.2
2014,Louisiana,LA,23.1
2015,Louisiana,LA,18.6
2016,Louisiana,LA,20.2
1990,Maine,ME,13.1
1991,Maine,ME,14.1
1992,Maine,ME,13.5
1993,Maine,ME,15.4
1994,Maine,ME,9.4
1995,Maine,ME,11.2
1996,Maine,ME,11.2
1997,Maine,ME,10.1
1998,Maine,ME,10.4
1999,Maine,ME,10.6
2000,Maine,ME,10.1
2001,Maine,ME,10.3
2002,Maine,ME,13.4
2003,Maine,ME,11.6
2004,Maine,ME,11.6
2005,Maine,ME,12.6
2006,Maine,ME,10.2
2007,Maine,ME,10.9
2008,Maine,ME,12.0
2009,Maine,ME,11.4
2010,Maine,ME,12.6
2011,Maine,ME,13.4
2012,Maine,ME,12.8
2013,Maine,ME,11.85
2014,Maine,ME,14.6
2015,Maine,ME,12.3
2016,Maine,ME,12.7
1990,Maryland,MD,9.9
1991,Maryland,MD,9.1
1992,Maryland,MD,11.8
1993,Maryland,MD,9.7
1994,Maryland,MD,10.7
1995,Maryland,MD,10.1
1996,Maryland,MD,10.3
1997,Maryland,MD,8.4
1998,Maryland,MD,7.2
1999,Maryland,MD,7.3
2000,Maryland,MD,7.4
2001,Maryland,MD,7.2
2002,Maryland,MD,7.4
2003,Maryland,MD,8.6
2004,Maryland,MD,9.9
2005,Maryland,MD,9.7
2006,Maryland,MD,8.4
2007,Maryland,MD,8.8
2008,Maryland,MD,8.7
2009,Maryland,MD,9.6
2010,Maryland,MD,10.9
2011,Maryland,MD,9.3
2012,Maryland,MD,9.9
2013,Maryland,MD,10.4
2014,Maryland,MD,9.8
2015,Maryland,MD,9.6
2016,Maryland,MD,7.1
1990,Massachusetts,MA,10.7
1991,Massachusetts,MA,11.0
1992,Massachusetts,MA,10.3
1993,Massachusetts,MA,10.7
1994,Massachusetts,MA,9.7
1995,Massachusetts,MA,11.0
1996,Massachusetts,MA,10.1
1997,Massachusetts,MA,12.2
1998,Massachusetts,MA,8.7
1999,Massachusetts,MA,11.8
2000,Massachusetts,MA,9.8
2001,Massachusetts,MA,8.9
2002,Massachusetts,MA,10.0
2003,Massachusetts,MA,10.3
2004,Massachusetts,MA,9.3
2005,Massachusetts,MA,10.1
2006,Massachusetts,MA,12.0
2007,Massachusetts,MA,11.2
2008,Massachusetts,MA,11.3
2009,Massachusetts,MA,10.8
2010,Massachusetts,MA,10.9
2011,Massachusetts,MA,10.6
2012,Massachusetts,MA,11.3
2013,Massachusetts,MA,12
2014,Massachusetts,MA,13.6
2015,Massachusetts,MA,11.5
2016,Massachusetts,MA,9.6
1990,Michigan,MI,14.3
1991,Michigan,MI,14.1
1992,Michigan,MI,13.6
1993,Michigan,MI,15.4
1994,Michigan,MI,14.1
1995,Michigan,MI,12.2
1996,Michigan,MI,11.2
1997,Michigan,MI,10.3
1998,Michigan,MI,11.0
1999,Michigan,MI,9.7
2000,Michigan,MI,9.9
2001,Michigan,MI,9.4
2002,Michigan,MI,11.6
2003,Michigan,MI,11.4
2004,Michigan,MI,13.3
2005,Michigan,MI,12.0
2006,Michigan,MI,13.3
2007,Michigan,MI,10.8
2008,Michigan,MI,13.0
2009,Michigan,MI,14.0
2010,Michigan,MI,15.7
2011,Michigan,MI,15.0
2012,Michigan,MI,13.7
2013,Michigan,MI,13.6
2014,Michigan,MI,14.8
2015,Michigan,MI,12.8
2016,Michigan,MI,11.1
1990,Minnesota,MN,12.0
1991,Minnesota,MN,12.9
1992,Minnesota,MN,13.0
1993,Minnesota,MN,11.6
1994,Minnesota,MN,11.7
1995,Minnesota,MN,9.2
1996,Minnesota,MN,9.8
1997,Minnesota,MN,9.6
1998,Minnesota,MN,10.3
1999,Minnesota,MN,7.3
2000,Minnesota,MN,5.7
2001,Minnesota,MN,7.4
2002,Minnesota,MN,6.5
2003,Minnesota,MN,7.4
2004,Minnesota,MN,7.0
2005,Minnesota,MN,8.1
2006,Minnesota,MN,8.2
2007,Minnesota,MN,9.3
2008,Minnesota,MN,9.9
2009,Minnesota,MN,11.1
2010,Minnesota,MN,10.8
2011,Minnesota,MN,10.0
2012,Minnesota,MN,10.0
2013,Minnesota,MN,11.5
2014,Minnesota,MN,8.3
2015,Minnesota,MN,7.8
2016,Minnesota,MN,8.7
1990,Mississippi,MS,25.7
1991,Mississippi,MS,23.7
1992,Mississippi,MS,24.6
1993,Mississippi,MS,24.7
1994,Mississippi,MS,19.9
1995,Mississippi,MS,23.5
1996,Mississippi,MS,20.6
1997,Mississippi,MS,16.7
1998,Mississippi,MS,17.6
1999,Mississippi,MS,16.2
2000,Mississippi,MS,14.9
2001,Mississippi,MS,19.3
2002,Mississippi,MS,18.4
2003,Mississippi,MS,16.0
2004,Mississippi,MS,18.7
2005,Mississippi,MS,20.1
2006,Mississippi,MS,20.6
2007,Mississippi,MS,22.6
2008,Mississippi,MS,18.1
2009,Mississippi,MS,23.1
2010,Mississippi,MS,22.5
2011,Mississippi,MS,17.4
2012,Mississippi,MS,22.0
2013,Mississippi,MS,20.8
2014,Mississippi,MS,22.1
2015,Mississippi,MS,19.1
2016,Mississippi,MS,21.1
1990,Missouri,MO,13.4
1991,Missouri,MO,14.8
1992,Missouri,MO,15.7
1993,Missouri,MO,16.1
1994,Missouri,MO,15.6
1995,Missouri,MO,9.4
1996,Missouri,MO,9.5
1997,Missouri,MO,11.8
1998,Missouri,MO,9.8
1999,Missouri,MO,11.7
2000,Missouri,MO,9.2
2001,Missouri,MO,9.7
2002,Missouri,MO,9.9
2003,Missouri,MO,10.7
2004,Missouri,MO,12.2
2005,Missouri,MO,11.6
2006,Missouri,MO,11.4
2007,Missouri,MO,12.8
2008,Missouri,MO,13.3
2009,Missouri,MO,15.5
2010,Missouri,MO,15.0
2011,Missouri,MO,15.4
2012,Missouri,MO,15.2
2013,Missouri,MO,15.6
2014,Missouri,MO,10.4
2015,Missouri,MO,9.8
